Brand,Model,Price,Ratings,Capacity(kg),Machine Type,Load Type,Warranty(Years)
MarQ,by Flipkart Rating Innowash Range Maro...,6990,4.3,6.0,Semi Automatic,Top Load,2.0
MOTOROLA,rating Midnight Series,10490,4.3,10.0,Semi Automatic,Top Load,2.0
realme,TechLife rating,7990,4.2,7.0,Semi Automatic,Top Load,2.0
VW,NA,6899,4.4,7.5,Semi Automatic,Top Load,
realme,TechLife,10490,4.2,10.0,Semi Automatic,Top Load,2.0
Samsung,Air Turbo Drying,9290,4.4,6.5,Semi Automatic,Top Load,2.0
Samsung,NA,11990,4.4,8.0,Semi Automatic,Top Load,2.0
realme,TechLife Rating,8390,4.2,7.5,Semi Automatic,Top Load,2.0
Haier,Balance Clean Pulsator Custom Wash Cycles with 15 Mins Quick Wash Magic Filter Fully Au...,12790,4.3,6.5,,,2.0
VW,Maroon,7299,4.4,8.0,Semi Automatic,Top Load,
realme,TechLife Rating Fabric Safe Wash,12290,4.1,7.5,Fully Automatic,Top Load,2.0
MarQ,by Flipkart Rating Innowash Range,7490,4.3,7.0,Semi Automatic,Top Load,2.0
Thomson,Aqua Magic,7990,4.2,7.5,Semi Automatic,Top Load,2.0
LG,Smart Inverter Technology TurboDrum Smart Diagnosis with Soft Closing Door Fully Aut...,19990,4.4,8.0,,,2.0
Haier,Anti Bacterial Vortex Pulsator 1300 RPM Spray Function Wash Programs Magic Filter Rat ...,8990,4.3,7.0,,,2.0
Samsung,NA,10990,4.4,7.5,Semi Automatic,Top Load,2.0
Whirlpool,Magic Clean,14990,4.1,7.0,Fully Automatic,Top Load,2.0
realme,TechLife Star Air Dry Soft Closing Lid,12290,4.2,7.5,Fully Automatic,Top Load,
Samsung,Air Turbo Drying Purple,10290,4.4,7.0,Semi Automatic,Top Load,2.0
LG,with Wind Jet Dry Collar Scrubber and Rust Free Plastic Base W...,11490,4.5,7.0,Semi Automatic,Top Load,2.0
MarQ,by Flipkart,11490,4.1,7.5,Fully Automatic,Top Load,
realme,TechLife rating,10290,4.2,8.5,Semi Automatic,Top Load,2.0
Thomson,Washer only,4790,4.0,7.0,,,1.0
Haier,Balance Clean Pulsator Custom Wash Cycles with 15 Mins Quick Wash Magic Filter Fully Auto...,13690,4.3,7.0,,,2.0
MOTOROLA,rating Midnight Series,7990,4.3,7.0,Semi Automatic,Top Load,2.0
Voltas,Beko by A Tata Product Maroon,8890,4.3,7.0,Semi Automatic,Top Load,1.0
MarQ,by Flipkart Rating Innowash Range Maro...,6990,4.3,6.0,Semi Automatic,Top Load,2.0
realme,TechLife rating,7990,4.2,7.0,Semi Automatic,Top Load,2.0
MOTOROLA,rating Midnight Series,10490,4.3,10.0,Semi Automatic,Top Load,2.0
Voltas,Beko Maroon,7490,4.3,6.0,Semi Automatic,Top Load,1.0
